actor;law;link.law;date;link.statement;V10b;V4;PH;in.gesamt;;
European Federation of Energy Traders (EFET);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;04. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08052016_Stellungnahme_EFET_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
TMA Deutschland e.V.;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_TMA_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
Verband Insolvenzverwalter Deutschlands e.V. (VID);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;26. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07262016_Stellungnahme_VID_RefE_InsO.pdf?__blob=publicationFile&v=4;18/9983;443;1;1;;
Verband kommunaler Unternehmen e.V. (VKU);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;04. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08042016_Stellungnahme_VKU_RefE_InsO.pdf?__blob=publicationFile&v=3;18/9983;68;1;1;;
Bundesrechtsanwaltskammer (BRAK);Drittes Gesetz zur Änderung des Gesetzes über die internationale Rechtshilfe in Strafsachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_AendG_internationale_Rechtshilfe_Strafsachen.html;01. Mrz 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/03012015_Stellungnahme_BRAK_RefE_Internat_Rechtshilfe_Freiheitsentzug_Bewaehrungsma%C3%9Fnahmen.pdf?__blob=publicationFile&v=1;18/9757;405;0;0;;
Deutscher Juristinnenbund e. V. (djb);Drittes Gesetz zur Änderung des Gesetzes über die internationale Rechtshilfe in Strafsachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_AendG_internationale_Rechtshilfe_Strafsachen.html;22. Jul 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/07222014_Stellungnahme_djb_RefE_Internat_Rechtshilfe_Freiheitsentzug_Bewaehrungsma%C3%9Fnahmen.pdf?__blob=publicationFile&v=1;18/9757;256;0;0;;
Allgemeiner Deutscher Automobil-Club e.V. (ADAC);Drittes Gesetz zur Änderung reiserechtlicher Vorschriften – Umsetzung der neuen EU-Pauschalreiserichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_Pauschalreiserichtlinie.html;29. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07292016_Stellungnahme_ADAC_RefE_Reiserecht.pdf?__blob=publicationFile&v=1;18/10822;365;0;0;;
Allianz selbständiger Reiseunternehmen – Bundesverband e.V. (asr);Drittes Gesetz zur Änderung reiserechtlicher Vorschriften – Umsetzung der neuen EU-Pauschalreiserichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_Pauschalreiserichtlinie.html;29. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07292016_Stellungnahme_asr_RefE_Reiserecht.pdf?__blob=publicationFile&v=1;18/10822;NA;0;0;;
AWO Bundesverband e.V.;Drittes Gesetz zur Änderung reiserechtlicher Vorschriften – Umsetzung der neuen EU-Pauschalreiserichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_Pauschalreiserichtlinie.html;29. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07292016_Stellungnahme_AWO_RefE_Reiserecht.pdf?__blob=publicationFile&v=1;18/10822;NA;0;0;;
Bundesrechtsanwaltskammer;Drittes Gesetz zur Änderung reiserechtlicher Vorschriften – Umsetzung der neuen EU-Pauschalreiserichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_Pauschalreiserichtlinie.html;01. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08012016_Stellungnahme_Bundesrechtsanwaltskammer_RefE_Reiserecht.pdf?__blob=publicationFile&v=1;18/10822;405;0;0;;
